readout,kind,block,dim,category,n_exemplars,k,effective_k,mean_knn_dist,mean_pairwise_dist,local_coherence,global_dispersion,local_over_global,global_dispersion_per_sqrt_dim,mean_knn_dist_per_sqrt_dim
cls_L00,cls,0,768,cat,68,5,5,16.820315002563643,24.544323923353776,0.05945191869757412,17.158612604166972,0.003464844161301026,0.6191581003710193,0.6069508371615263
cls_L00,cls,0,768,pants,90,5,5,16.609608918170903,25.358858723893764,0.06020611351697755,17.662339353873907,0.0034087281594310697,0.6373347737798514,0.5993476362525237
cls_L00,cls,0,768,watch,97,5,5,16.715721715504262,26.415653134934097,0.05982392008072701,18.64880429672423,0.0032079225632302565,0.672930761298649,0.6031766520090787
cls_L00,cls,0,768,clock,92,5,5,17.44436536665563,31.907006469876052,0.057325100625986045,22.647798762680114,0.002531155509931874,0.8172320445116149,0.6294693150175509
cls_L00,cls,0,768,cracker,73,5,5,19.923384793423857,28.240461527899633,0.05019227457425164,19.838611156678237,0.0025300296567058577,0.7158642182285309,0.7189232233532351
cls_L00,cls,0,768,jeans,84,5,5,19.97612044136834,28.36609518263295,0.05005977026095169,19.906729911104236,0.002514715901833163,0.7183222420538254,0.7208261571367749
cls_L00,cls,0,768,stroller,88,5,5,20.588976394874557,27.5648334367117,0.04856968024155592,19.332719776447576,0.002512304569827096,0.6976094354437257,0.7429406914949798
cls_L00,cls,0,768,plate,93,5,5,18.42039068204094,30.713007072147505,0.05428766508057593,21.734896724096558,0.002497719026214166,0.7842905296541165,0.6646885949284007
cls_L00,cls,0,768,oven,83,5,5,20.738841715637417,28.220976903619736,0.04821870062521303,19.809686242065762,0.0024340971399547397,0.7148204802761684,0.748348490450269
cls_L00,cls,0,768,couch,98,5,5,20.513416717472918,28.61779383045232,0.04874858312356225,20.10659975194082,0.00242450656625105,0.7255344237044434,0.7402141664894974
cls_L00,cls,0,768,dog,71,5,5,20.041771853068546,30.326725081110528,0.04989578802369674,21.41412244261166,0.0023300412219746077,0.7727155847938406,0.7231951484003869
cls_L00,cls,0,768,shorts,95,5,5,20.021675346540295,30.6215619536786,0.04994587029765209,21.442915675660217,0.0023292480860867947,0.7737545710970546,0.7224699781845209
cls_L00,cls,0,768,plant,99,5,5,20.36147849946018,30.60793994201421,0.04911234712285318,21.59283755583421,0.0022744739775798213,0.7791644109642963,0.7347315682976321
cls_L00,cls,0,768,vacuum,62,5,5,21.411090607691907,29.65937405449569,0.04670476709116122,20.748454477687453,0.002250999810197273,0.7486953611225967,0.7726061828746494
cls_L00,cls,0,768,drawer,87,5,5,19.440233869131564,32.970948078500996,0.05143971038269572,23.24819949264803,0.0022126320104472142,0.8388971397034038,0.7014890160907743
cls_L00,cls,0,768,napkin,77,5,5,20.06145027127381,32.26950178007058,0.04984684489295921,22.768349305115994,0.0021893042936476184,0.8215820375195093,0.7239052321533891
cls_L00,cls,0,768,can,61,5,5,21.01835965974932,32.01341476093394,0.04757745210322121,22.527711264801734,0.002111952321475208,0.8128987601849654,0.7584347254675401
cls_L00,cls,0,768,paper,99,5,5,20.679833089850856,32.43373186245466,0.04835628970771408,22.936221661285295,0.002108293616177247,0.8276396093959995,0.7462192000763702
cls_L00,cls,0,768,purse,76,5,5,21.39514529908657,32.18574334990246,0.046739575077468315,22.612077359239027,0.0020670181839074187,0.8159430593933309,0.7720308061111743
cls_L00,cls,0,768,flower,93,5,5,20.835806209066618,33.702673965427564,0.04799430317051298,23.73282451629467,0.0020222752305592904,0.8563845389445549,0.7518473952242181
cls_L00,cls,0,768,sink,64,5,5,21.664967656240023,32.49641853330995,0.046157465631478864,22.895521104168523,0.002016004153016421,0.8261709545455285,0.7817671817696696
cls_L00,cls,0,768,necklace,85,5,5,19.754433195770524,35.422534760692116,0.05062154859568953,25.16821865472546,0.002011328226687393,0.9081798634580691,0.712826707704162
cls_L00,cls,0,768,jar,79,5,5,21.85434960073227,32.53172991320229,0.04575748161210404,22.83125514166573,0.0020041597068660173,0.8238519563736085,0.7886009140591854
cls_L00,cls,0,768,doll,89,5,5,22.482043938081766,31.782380325332067,0.04447994153708264,22.348121294896014,0.0019903212869728432,0.8064183653431639,0.8112508824740314
cls_L00,cls,0,768,butterfly,92,5,5,20.534993675488014,34.76530775116147,0.048697360992794904,24.48073340111038,0.001989211687203216,0.8833723761931589,0.7409927578968918
cls_L00,cls,0,768,box,86,5,5,22.02599818762994,32.373920173199146,0.04540089359317262,22.82596678973623,0.0019890019998446366,0.8236611294104795,0.7947947489248973
cls_L00,cls,0,768,hat,78,5,5,20.734612641843515,34.71891127736005,0.04822853540952815,24.34450566035828,0.0019810850169803104,0.8784566810185138,0.7481958868944357
cls_L00,cls,0,768,pony,63,5,5,22.554931427872646,32.66524048693028,0.044336202182562734,22.94498621495359,0.0019322827988307166,0.8279558729847318,0.8138809832147389
cls_L00,cls,0,768,shoe,94,5,5,21.81787302374745,33.66516445062123,0.045833982025267075,23.75474329889305,0.0019294665258455096,0.8571754648841476,0.787284678962854
cls_L00,cls,0,768,chair,95,5,5,22.61998486660843,32.68155254395623,0.044208694475131934,23.014583380808826,0.0019208991856874648,0.8304672443873165,0.8162283969876024
cls_L00,cls,0,768,apple,64,5,5,18.583788856061748,38.738687950245314,0.05381034017042307,28.112460059247212,0.0019141099731939998,1.0144210239243114,0.6705847186631512
cls_L00,cls,0,768,sweater,97,5,5,22.72176679504824,33.08193546178849,0.04401066206779,23.203714034433187,0.0018967076564760414,0.8372919089986937,0.8199011359740627
cls_L00,cls,0,768,sock,83,5,5,21.845527260809174,34.36526404802098,0.045775960820776236,24.20720436105831,0.0018910056749227595,0.8735022471365812,0.7882825652885929
cls_L00,cls,0,768,jacket,76,5,5,22.861248886353355,33.190605124620475,0.043742142215027174,23.148145204592613,0.001889660783981461,0.8352867415695057,0.8249342624091964
cls_L00,cls,0,768,fork,63,5,5,21.96041444430459,34.73233201685596,0.04553648122334727,24.374125399894428,0.001868230366269655,0.8795254913056715,0.7924281994334376
cls_L00,cls,0,768,glass,80,5,5,23.15307791556411,33.06882697892738,0.04319080182975472,23.200717451695702,0.0018616149228867047,0.8371837791330602,0.8354647354449575
cls_L00,cls,0,768,refrigerator,65,5,5,24.06563514602787,32.045672095674334,0.041553027540395256,22.425638083300715,0.0018529250934151917,0.8092155115089245,0.8683938081111569
cls_L00,cls,0,768,door,95,5,5,21.06951364524676,36.15072504854936,0.047461940357868576,25.693336997843787,0.0018472470260228026,0.9271284395053051,0.760280585923607
cls_L00,cls,0,768,pillow,85,5,5,22.255159301062353,34.87418346325587,0.044933401126104944,24.43146174851868,0.0018391613890572608,0.8815944385752066,0.8030638883328971
cls_L00,cls,0,768,toy,100,5,5,23.24660381268387,33.3333937340672,0.043017036297335505,23.48603678895445,0.0018316004817622758,0.8474793538937692,0.8388395605623509
cls_L00,cls,0,768,bed,74,5,5,23.842042181537327,32.85922664030147,0.04194271582886363,23.078350310953475,0.0018174052852017212,0.832768235280092,0.8603255919713118
cls_L00,cls,0,768,scarf,73,5,5,23.654146595293284,33.18271328256398,0.04227588579327485,23.34865202486411,0.0018106349672030327,0.8425219082356371,0.8535454940152155
cls_L00,cls,0,768,table,94,5,5,23.300135931691074,33.57792902618568,0.042918204551754394,23.750185254108597,0.0018070682014713919,0.8570109906101925,0.8407712345197946
cls_L00,cls,0,768,shower,77,5,5,23.80835097690833,33.19380346005058,0.042002068978649464,23.36667659333717,0.0017975200200539443,0.8431723138268841,0.8591098653424446
cls_L00,cls,0,768,lamp,92,5,5,21.118497719735757,37.04114881047636,0.047351853018667865,26.346286176764515,0.0017972875835695094,0.9506897135188693,0.7620481464606211
cls_L00,cls,0,768,towel,83,5,5,22.71341171560314,35.559459038779835,0.04402685129478118,24.990856782955124,0.001761718362725741,0.9017798681824079,0.819599648013642
cls_L00,cls,0,768,book,94,5,5,24.410624082757764,33.121365015653225,0.04096576951944221,23.25479601056932,0.0017616051975181052,0.839135171040752,0.8808425240791848
cls_L00,cls,0,768,car,69,5,5,22.39698122224198,36.12236817381796,0.04464887433164076,25.523733178493263,0.0017493081446746462,0.9210083888329543,0.808181446106025
cls_L00,cls,0,768,bird,63,5,5,22.328215128381967,36.595387785687265,0.044786383248738695,25.638072764620777,0.0017468701200716462,0.9251342632598137,0.8057000634309502
cls_L00,cls,0,768,bottle,85,5,5,21.94973537966891,37.000315661357156,0.04555863579686964,26.08758176568824,0.0017463725157074834,0.9413545221829048,0.7920428518808061
cls_L00,cls,0,768,window,99,5,5,23.941575487323394,34.5783081665058,0.041768345634959604,24.295305817257653,0.0017191940677400467,0.8766813346023742,0.8639171907768692
cls_L00,cls,0,768,bench,64,5,5,24.830332789450736,33.41413060841748,0.040273322491467124,23.4655445139459,0.0017162747903647464,0.8467399026129883,0.8959874575035859
cls_L00,cls,0,768,bowl,88,5,5,22.67555338865357,36.95991539476409,0.04410035701710291,25.968218696315265,0.0016982434387523271,0.9370473784182932,0.8182335533101793
cls_L00,cls,0,768,cup,83,5,5,22.675689068955702,37.195639127521304,0.04410009314200098,26.203571504882763,0.0016829802431238576,0.9455399413796045,0.8182384492513644
cls_L00,cls,0,768,shirt,91,5,5,23.42122669667825,36.39866679769539,0.04269631189479185,25.407549142299473,0.0016804577118266545,0.9168159585472029,0.8451407211299024
cls_L00,cls,0,768,basket,91,5,5,24.3816095262259,34.8666439530922,0.04101451952646347,24.493811341571703,0.001674484993556404,0.8838442857210208,0.8797955514526793
cls_L00,cls,0,768,dish,90,5,5,22.801552094269628,37.11613049915076,0.04385666361068968,26.22711644761495,0.0016721877793270687,0.9463895463186346,0.8227801399729904
cls_L00,cls,0,768,tray,80,5,5,24.247122398180558,35.08173649542852,0.041242007343314166,24.689396884051426,0.0016704339736202793,0.8909018710710375,0.8749426652289594
cls_L00,cls,0,768,pajamas,86,5,5,25.256798938567712,35.825437024333525,0.03959329931050672,25.20120426573962,0.0015710875914105732,0.9093701291704697,0.9113762291281452
cls_L00,cls,0,768,rock,71,5,5,26.009234829511456,35.501346331736535,0.03844788232160321,25.017725120794555,0.0015368256760342133,0.902749395812675,0.9385274206396644
cls_L00,cls,0,768,blanket,92,5,5,25.230874563130868,37.360870788964604,0.03963398087917533,26.22324752902984,0.0015114062754927452,0.946249938744473,0.9104407638070806
cls_L00,cls,0,768,closet,81,5,5,25.24433095196085,38.45481900308848,0.039612854145470035,27.104674273564605,0.0014614768561932048,0.9780556867587281,0.9109263294141625
cls_L00,cls,0,768,crib,60,5,5,27.303780205478002,36.195219774507706,0.03662496520534429,25.353327465253397,0.0014445821857323705,0.9148594023072989,0.9852403032204439
cls_L00,cls,0,768,ball,86,5,5,23.238395998149525,44.70772297139736,0.043032229938745774,31.555334621477428,0.0013637069755380396,1.1386550586299196,0.8385433865666719
