source,category,n_exemplars,k,effective_k,mean_knn_dist,mean_pairwise_dist,local_coherence,global_dispersion,local_over_global
released_clip,clock,92,5,5,15.084993902922053,22.371141825304882,0.06629104436073349,15.68319257653264,0.004226884547724506
released_clip,door,95,5,5,16.948552199377538,22.567153637531685,0.05900208986799041,15.875370984370136,0.003716580225185292
released_clip,watch,97,5,5,17.750641728546068,23.328007800431806,0.05633599141330361,16.390472049447744,0.0034371182991768546
released_clip,butterfly,92,5,5,17.535200448530173,24.08115692745189,0.05702814763567881,16.938958449698045,0.003366685608505958
released_clip,pants,90,5,5,18.571288236404996,23.40729893776136,0.05384656073775842,16.42409884006611,0.0032785092967415235
released_clip,drawer,87,5,5,18.130932850270828,24.04703175404123,0.05515436013459521,16.87428350549901,0.0032685453054419433
released_clip,apple,64,5,5,18.22773213526336,24.023369400752834,0.054861460141023284,16.852457214819857,0.0032553982746669576
released_clip,necklace,85,5,5,18.740326927699094,23.84075149713643,0.05336086205208899,16.700535185777625,0.0031951588053017446
released_clip,flower,93,5,5,18.33347814761117,24.78893460027704,0.054545023696460936,17.405814598399623,0.003133724272891892
released_clip,cracker,73,5,5,18.865109480351872,24.18371680181499,0.05300790864964267,16.966667448206785,0.003124238086911116
released_clip,cat,68,5,5,18.902254868502432,24.73265701393008,0.05290374121800353,17.374363743992728,0.0030449311409343127
released_clip,shorts,95,5,5,19.35325445005586,24.549660484588472,0.051670896105906035,17.25033789681179,0.00299535559332179
released_clip,fork,63,5,5,19.371772164839996,25.121891090832943,0.0516215032621028,17.635014653067664,0.002927216352106806
released_clip,plant,99,5,5,19.036488375368688,25.57351262576543,0.052530696853412315,18.013617048529532,0.002916165960000823
released_clip,napkin,77,5,5,19.637878882637185,24.911580844282593,0.05092199651379606,17.4761338408596,0.0029138021588470137
released_clip,jeans,84,5,5,19.746745223625762,24.76053082283391,0.05064125701098132,17.386024168955565,0.0029127566209994236
released_clip,shower,77,5,5,19.665076503476264,24.98470597104974,0.050851569269167424,17.51791895200063,0.0029028316324845155
released_clip,can,61,5,5,19.705659668252387,25.138667795395758,0.05074684211719596,17.61376282451419,0.002881090350925378
released_clip,window,99,5,5,19.470456926039542,25.581773976815583,0.051359862986194875,17.985602026764404,0.002855609887829508
released_clip,grass,100,5,5,19.524127001092815,25.6187789393533,0.051218679326559775,17.97893139117739,0.0028488166628019822
released_clip,oven,83,5,5,20.171373983070204,25.448766844287427,0.049575204983026845,17.8718064479077,0.00277393363270397
released_clip,closet,81,5,5,20.029205628160497,25.669794673451133,0.049927092395218524,18.0063344982862,0.0027727515780610686
released_clip,couch,98,5,5,20.361312508907034,25.45680027729612,0.04911274749908932,17.865023493567026,0.0027491006388418245
released_clip,stroller,88,5,5,20.166597101324978,26.021021314707735,0.04958694791072602,18.281930465529058,0.0027123474736009522
