category,AoA,visual_frequency,word_count_childes,log_word_freq,cdi_semantic,published_global,published_local,global_cls_L00,local_cls_L00,global_cls_L01,local_cls_L01,global_cls_L02,local_cls_L02,global_cls_L03,local_cls_L03,global_cls_L04,local_cls_L04,global_cls_L05,local_cls_L05,global_cls_L06,local_cls_L06,global_cls_L07,local_cls_L07,global_cls_L08,local_cls_L08,global_cls_L09,local_cls_L09,global_cls_L10,local_cls_L10,global_cls_L11,local_cls_L11,global_mean_L00,local_mean_L00,global_mean_L01,local_mean_L01,global_mean_L02,local_mean_L02,global_mean_L03,local_mean_L03,global_mean_L04,local_mean_L04,global_mean_L05,local_mean_L05,global_mean_L06,local_mean_L06,global_mean_L07,local_mean_L07,global_mean_L08,local_mean_L08,global_mean_L09,local_mean_L09,global_mean_L10,local_mean_L10,global_mean_L11,local_mean_L11,global_final,local_final
bowl,23.0,0.0363792609567459,1206.0,3.081707270097349,household,19.33583046459093,21.704647450563588,25.968218696315265,22.67555338865357,25.69845761338721,24.58902354120272,24.30213264059204,21.705393881001797,23.376376697703336,22.326653308417743,23.92590989566363,23.985322200064694,24.643116667206765,23.9744404861934,24.9821827136081,26.06186986020434,24.98234931365843,26.53615873711712,24.686228058304422,26.44477919002081,23.782683418754985,26.223929331200694,22.867038023752777,25.42512280441573,22.98439185314508,25.873927120892528,24.050829873321536,22.97015500644457,23.553175362619,23.51401636093765,23.674300917779565,24.392651799364,24.438402638113637,25.050482866615024,24.511684142155005,26.002423232592378,24.730288286736894,27.765963949110517,25.1223857508142,28.63530899191162,25.18781399143254,28.848917132907363,24.714843063930388,28.222133099792348,23.258786949815278,26.62124498273278,23.02759740250217,26.512191623008224,23.28145723763492,26.66948011983666,19.192600793942223,21.49391391752949
box,23.0,0.0264967058149527,1.0,0.3010299956639812,household,20.321209157730028,23.46097316306284,22.82596678973623,22.02599818762994,23.34264578965438,24.04032373072497,22.56414799292352,21.516423152008304,23.1302694358454,23.153389374044888,23.906555455066087,25.105266064269063,23.59612881074819,24.766820902362472,23.802195993872797,26.292438604218304,23.616920353606687,26.60155048181481,22.969324925381542,26.032252772450725,22.995424462547263,26.846486435027305,23.78062402808922,27.36273861438613,24.18899904141359,28.37724081812512,21.264624467826756,22.02768368909435,21.706833577206435,22.89348044498988,22.009483857409343,23.9611238509092,23.406185853519197,25.395484059794008,23.22757679981647,26.12971465017905,22.918715479652203,27.02306432057738,22.373742258128388,26.93496667136459,22.13999024437781,26.512007288078877,23.44113246082315,27.606751240993148,22.51238249048657,26.00179578878642,22.180437557328787,25.59237466293923,22.23269130292344,25.36924116576082,20.04534421069928,23.252235981129424
bucket,27.0,0.0158980234889716,362.0,2.5599066250361124,household,19.96557674487559,22.84980325220113,29.5145647011229,25.38000481733057,28.04447358967184,26.251005663070387,27.024023779745605,24.64366415841584,25.448835252607573,25.31001354756162,25.2332671824432,26.267447703642336,25.492239572813077,25.537944511972,25.629989162667165,27.27564105880104,25.78732621144732,27.809333934551297,25.79097922605992,28.25288589552429,24.77667976252549,28.10466363509637,24.022999328581832,27.366999008169305,23.97752603978225,27.75693668038265,25.10580643405157,23.590041354612502,24.76514961178356,24.677761016879963,24.709536430083443,25.62954809111229,25.344764634362928,26.779416995868186,25.73607627855238,28.219408973806136,25.51017318547336,29.398863055904688,24.949532087498117,29.424716249573414,24.57713269125678,29.05525349492579,23.762582140860605,28.1119650060626,22.615439796681464,26.948544241048527,22.969990493460376,27.132426712234228,22.598196813651622,26.609598295642563,19.76695115246059,22.751433961013987
butterfly,24.0,0.010598682325981,871.0,2.940516484932567,animals,16.938958449698045,17.535200448530173,24.48073340111038,20.53499367548801,24.716319830487706,22.64183411239523,23.237283994424423,19.477932208930014,22.322463671181925,19.913513592484367,22.83920582366665,21.80112771516978,23.91447768597496,21.93323847507673,24.209471802842817,23.926165519347823,24.84653322677373,24.724663045686928,25.12143817897461,25.235713921742647,24.16350277728096,25.38303546131024,23.50311427889289,23.842087155731942,21.865350049985405,22.663475658460587,23.77536233953476,20.713783599911466,23.42074704098104,21.687869663535544,23.669427147273744,22.489460338171487,23.76560556741434,22.783274891048613,23.855729339153942,23.32071668331827,23.36359967273735,24.273382446771745,22.88718250902605,24.0583401214588,23.380263272159763,24.114655897195327,22.056694248611,22.886786831675572,21.80425131180001,21.367962542444847,21.954353979313247,21.09250462652916,22.08810070638998,20.67888482927693,17.064050199383725,17.656787282210423
can,28.0,0.0074477227155542,8.0,0.9542425094393249,household,17.61376282451419,19.705659668252387,22.52771126480173,21.01835965974932,22.66903472325277,22.82930970125824,22.04345489095692,21.062701958064427,22.580351203452057,23.253949970743317,24.093529581924077,25.74187147990349,24.061943900699376,24.96223279666232,24.70610095412393,27.47942743422697,25.012020228724165,27.756866876145367,25.16734713371149,27.82201381125414,23.50154527058893,26.731963918302885,21.94244623991896,24.996670112369653,21.48219828108266,24.52079472176477,23.36773092066772,22.56303446362537,23.45539683562941,23.618447835612727,24.14195072035675,25.51284285707445,25.341024404116297,27.63099028039453,24.96695193650872,27.796315569556945,24.692202269784207,28.59630845574703,24.34096139884002,28.50050686945779,23.43653935890137,27.12576198860572,22.77664922861424,26.42168183028341,21.598190835551847,24.962402117576044,21.23601729432268,24.43087175311721,21.238319721437264,24.19052516021621,17.438689895924167,19.714445631977192
car,18.0,0.0098825551417931,7004.0,3.8454081396217936,vehicles,19.176807124862325,21.35406754137348,25.523733178493263,22.39698122224198,26.160744126362182,24.52813138876175,26.804098342400515,24.016660022062723,27.45078690518942,24.279436313007807,27.349743111741518,25.072669380561344,27.522489179509453,23.810927509162568,27.30670663752548,26.457336489663817,27.62907649255489,27.491851687856016,28.55315623875934,28.42770495815624,27.22638648770786,28.715609135599,25.552811189759428,27.35845019590217,23.742094922585807,26.3499995965321,22.85212121633432,21.86129950727652,25.88147267678023,25.10322150237099,27.72430887666755,26.47049501280674,27.8296561333446,26.78319787632642,27.18661050962284,27.085689743228023,25.61693361719409,27.793269962002903,24.426968291245668,27.734124829391167,23.616047412029804,27.10429659025841,22.84617605363098,26.3543988586112,21.820563633654675,25.52511310747888,22.020616013538355,25.690957350288738,22.23290852415217,25.561643429367408,19.272828279081008,21.428113077624214
cat,18.0,0.0100257805786307,134.0,2.130333768495006,animals,17.374363743992728,18.902254868502432,17.158612604166972,16.820315002563643,18.483588625503657,19.34990715597696,18.144429790129667,17.22983471616731,19.615402613521777,20.113632697931813,22.15918646900435,23.263491063274078,22.86868532564742,22.76047048925449,24.2666040650549,25.675520530121197,24.59842053330832,26.491994116850044,24.856412556338995,26.98763734689664,24.675843880653865,27.23262582419701,23.62058115233404,25.585732356181616,21.53567651758194,23.72765060690212,17.433819563997822,18.06347982520378,18.694516446744053,19.43390991598608,20.360515963518232,21.954553092983915,21.842234465721944,23.871998615010604,22.091143120685125,24.75799185258975,22.83467220623665,26.71086416754836,22.597676322733427,26.95944581321693,21.57914483381532,25.699579870543506,20.97511145457761,24.58511717587284,20.52502588795126,23.865251799647265,21.143723790449616,24.146268057827204,21.566025162906406,23.98702582898569,17.31902349957382,18.8259418569006
chair,22.0,0.058292752792896,4056.0,3.6082050077043264,furniture_rooms,18.78883983517955,20.82639362209201,23.014583380808823,22.61998486660843,23.576580706899303,24.15267811635497,23.63906305970093,21.960981663004272,24.863995627388014,24.19087290086969,25.415754072862004,25.876890650650097,24.53012507770201,24.72539628602035,25.19910523993378,26.713403118499325,25.04086061087559,26.67191341606985,24.64203358350227,26.81259059710033,24.10002473531703,27.011605850892654,23.91860975943436,26.86591349190153,23.214030310200197,26.283784490143155,21.32345786149563,22.35048528025393,22.33874198442232,23.66129946190692,23.36509388700897,24.568662399113837,24.26921730657995,25.49409296455132,23.47632672223727,25.888025949446977,22.833025110967537,26.47990903473269,22.296916252512293,26.334041727422576,21.821527135583576,25.66616853761704,22.66140003894751,26.23877032237645,21.39440113956249,24.496440839717952,20.49736975796113,23.649112302627262,20.83949757526876,23.68302959737117,18.60598990331872,20.77841143472084
clock,25.0,0.011314809510169,666.0,2.824125833916549,household,15.68319257653264,15.084993902922053,22.647798762680114,17.44436536665563,23.84253755163605,20.23185892456244,22.31206771563969,16.965549363595404,21.691628130203945,17.056330952176424,21.832029813437654,18.36658864168208,22.27743233076948,18.26791772490153,23.05220138911221,20.697992407071563,24.48073539152613,22.020798150087845,26.285527425571328,23.44010056476072,25.738944137860305,24.19042886429223,23.739285722231923,22.50967746732154,21.032173979752983,20.31402646913808,24.70224432292916,20.163601405799923,25.80322696809079,21.262216826414623,25.047794163917576,21.746802853253744,24.442841459728125,21.539858598847857,24.42116211419289,22.019659416052267,23.64965772362473,22.537979374895123,23.05614568510571,22.64268416932373,23.014274722293347,22.70266275574497,22.95074499226352,22.374638881796763,21.038976055358503,20.39779407261243,20.700783022454424,20.116883969126807,21.32666592754861,20.38882364886897,15.992928474200388,15.327962423768588
closet,27.0,0.0103122314523059,446.0,2.6503075231319366,furniture_rooms,18.0063344982862,20.029205628160497,27.104674273564605,25.24433095196085,26.737485655361905,25.594626615994464,25.97411106379629,22.45899755407365,25.130387167471,25.186824437557892,25.35412576750658,26.906605629319376,24.396164728833323,26.305701585738444,25.246194026466185,28.11922673516445,24.788615254603336,28.026535280560083,24.109868346682305,27.317164309426012,24.18770157339189,27.51401547556223,22.548828578043924,25.51411236357913,21.829479311408537,24.491237161712387,30.952255060788783,28.80853626229209,30.936490077416888,30.095950618547743,28.375633303423573,28.74009425919514,27.01458325373803,28.21374112005563,26.137099863215862,27.775520313569785,25.704275955197517,27.918056503617027,24.88716258595768,26.993543113105797,24.054301278662003,25.651575395576486,24.1209715925708,25.08890524851445,21.964034681478296,23.362357566623032,21.395377297565425,22.93862023528513,21.8096771625616,23.027078231162903,17.826210162739493,19.900267707030377
