dispersion,diversity,spearman_rho,p_value,n_categories
dinov3_global,instances_per_crop,-0.00431450863940992,0.971306877685715,72
dinov3_global,repeat_rate,0.00431450863940992,0.971306877685715,72
dinov3_global,pct_crops_in_repeats,-0.0011559626920683184,0.9923109032905338,72
dinov3_local,instances_per_crop,0.39086192040118484,0.0006871759312872842,72
dinov3_local,repeat_rate,-0.39086192040118484,0.0006871759312872842,72
dinov3_local,pct_crops_in_repeats,-0.3970487629784518,0.0005539325347976346,72
clip_global,instances_per_crop,0.16183477688956457,0.1744153821100334,72
clip_global,repeat_rate,-0.16183477688956457,0.1744153821100334,72
clip_global,pct_crops_in_repeats,-0.17176628734254593,0.14909823469250863,72
clip_local,instances_per_crop,0.2950798286062845,0.011858876542527761,72
clip_local,repeat_rate,-0.2950798286062845,0.011858876542527761,72
clip_local,pct_crops_in_repeats,-0.30149460748902984,0.010062290195882607,72
